simulator,sim_method,single_qubit_noise_prob,two_qubit_noise_prob,num_qubits,graph_density,p,problem_idx,expectation,elapsed_time,sample
depolarizing-noise,deterministic,0.005,0.005,5,0.5,7,2,-3.6171875,124.6746392250061,0
pauli-y-noise,deterministic,0.0,0.0,5,0.5,8,2,-3.76953125,110.19974565505981,0
pauli-z-noise,deterministic,0.0,0.0,5,0.5,8,2,-3.951171875,126.48391652107239,0
pauli-x-noise,deterministic,0.0,0.0,5,0.5,8,2,-3.98046875,119.75325870513916,0
depolarizing-noise,deterministic,0.0,0.0,5,0.5,8,2,-3.935546875,114.22186064720154,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,8,2,-2.619140625,128.60276007652283,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,8,2,-2.634765625,129.14779496192932,0
pauli-z-noise,deterministic,0.005,0.005,5,0.5,8,2,-3.66015625,124.45293140411377,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,8,2,-3.39453125,127.30003237724304,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,8,2,-2.669921875,127.31074690818787,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,8,2,-3.30859375,133.7775857448578,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,8,2,-3.46484375,135.20737624168396,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,8,2,-3.083984375,150.24418687820435,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,8,2,-2.978515625,133.85843467712402,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,8,2,-3.10546875,131.5705361366272,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,8,2,-2.951171875,131.48715019226074,0
pauli-y-noise,deterministic,0.005,0.005,5,0.5,8,2,-3.072265625,136.33550548553467,0
pauli-y-noise,deterministic,0.0,0.0,5,0.5,9,2,-3.728515625,120.8160331249237,0
depolarizing-noise,deterministic,0.005,0.005,5,0.5,8,2,-3.583984375,146.53442430496216,0
pauli-z-noise,deterministic,0.0,0.0,5,0.5,9,2,-3.96484375,124.96881890296936,0
pauli-x-noise,deterministic,0.0,0.0,5,0.5,9,2,-3.998046875,127.63476204872131,0
depolarizing-noise,deterministic,0.0,0.0,5,0.5,9,2,-3.98046875,132.3496594429016,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,9,2,-2.625,146.62998700141907,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,9,2,-3.375,143.51140117645264,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,9,2,-2.630859375,156.44504046440125,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,9,2,-2.650390625,148.37765073776245,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,9,2,-3.361328125,146.74425840377808,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,9,2,-3.255859375,148.55666995048523,0
pauli-z-noise,deterministic,0.005,0.005,5,0.5,9,2,-3.673828125,158.80987071990967,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,9,2,-3.13671875,146.41106748580933,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,9,2,-2.830078125,150.99695467948914,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,9,2,-2.994140625,156.81510376930237,0
pauli-y-noise,deterministic,0.005,0.005,5,0.5,9,2,-2.958984375,139.20798802375793,0
pauli-y-noise,deterministic,0.0,0.0,5,0.5,10,2,-3.744140625,133.1834864616394,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,9,2,-2.75390625,150.98533940315247,0
depolarizing-noise,deterministic,0.005,0.005,5,0.5,9,2,-3.5625,145.6976878643036,0
pauli-z-noise,deterministic,0.0,0.0,5,0.5,10,2,-4.009765625,126.0323920249939,0
pauli-x-noise,deterministic,0.0,0.0,5,0.5,10,2,-3.98046875,139.19595527648926,0
depolarizing-noise,deterministic,0.0,0.0,5,0.5,10,2,-3.97265625,142.5482144355774,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,10,2,-2.63671875,148.92168593406677,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,10,2,-2.615234375,154.27401733398438,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,10,2,-3.36328125,158.9599940776825,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,10,2,-3.2109375,160.56643414497375,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,10,2,-2.63671875,165.56356024742126,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,10,2,-3.37890625,180.74733090400696,0
pauli-y-noise,deterministic,0.005,0.005,5,0.5,10,2,-2.896484375,155.79653191566467,0
pauli-z-noise,deterministic,0.005,0.005,5,0.5,10,2,-3.712890625,177.0045359134674,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,10,2,-2.79296875,171.34132838249207,0
pauli-y-noise,deterministic,0.0,0.0,5,0.5,11,2,-3.92578125,161.84249258041382,0
